lemma,count
προπαρίστημι,1
ἀναλογόω,1
συγκοιμέω,2
ἀνιεράομαι,25
ἀποπονέω,3
τετυφνώομαι,1
τετλαθ́ω,2
προσαπαγορεύω,1
καθῃρόω,1
θήσσω,7
ἀποχωρέω,747
καθείγνυιρ,1
λαικάω,1
ἐντετ́αιυμι,1
γεγομφάω,1
ἀνταίρω,70
στραγγαλάω,1
ἀποφυσάω,7
ἡμεροκαλ́λλυμι,1
ἀπονοστέω,51
προσραίνω,8
ξηράσσυμι,1
συνορίνω,2
ἀφίτινυμι,2
μετακελήννυμι,2
παίρω,6
λάζω,24
σβέω,8
